DATE;GBRCPIALLQINMEI
01/01/1960;5.885690909
01/04/1960;5.921415892
01/07/1960;5.930347137
01/10/1960;5.992865857
01/01/1961;6.025018342
01/04/1961;6.100040806
01/07/1961;6.176849518
01/10/1961;6.246513235
01/01/1962;6.309121267
01/04/1962;6.443447202
01/07/1962;6.414063404
01/10/1962;6.411964561
01/01/1963;6.506412484
01/04/1963;6.544191654
01/07/1963;6.498017113
01/10/1963;6.546290496
01/01/1964;6.605058093
01/04/1964;6.726790972
01/07/1964;6.77926204
01/10/1964;6.84012848
01/01/1965;6.903093762
01/04/1965;7.075198866
01/07/1965;7.106681507
01/10/1965;7.152856047
01/01/1966;7.205327116
01/04/1966;7.343850736
01/07/1966;7.366938007
01/10/1966;7.425705603
01/01/1967;7.465583615
01/04/1967;7.53064774
01/07/1967;7.490769728
01/10/1967;7.583118808
01/01/1968;7.690159788
01/04/1968;7.872759106
01/07/1968;7.912637118
01/10/1968;8.007085041
01/01/1969;8.168695932
01/04/1969;8.296725339
01/07/1969;8.313516081
01/10/1969;8.418458218
01/01/1970;8.577970266
01/04/1970;8.783656854
01/07/1970;8.882302463
01/10/1970;9.067000623
01/01/1971;9.314664066
01/04/1971;9.648380062
01/07/1971;9.780607154
01/10/1971;9.902340033
01/01/1972;10.05555555
01/04/1972;10.2444514
01/07/1972;10.41235882
01/10/1972;10.66631879
01/01/1973;10.85311579
01/04/1973;11.19942484
01/07/1973;11.36943111
01/10/1973;11.7619147
01/01/1974;12.24984106
01/04/1974;12.97847111
01/07/1974;13.30454312
01/10/1974;13.90032902
01/01/1975;14.73764973
01/04/1975;16.13050054
01/07/1975;16.83900269
01/10/1975;17.41868626
01/01/1976;18.0466768
01/04/1976;18.70687198
01/07/1976;19.13760908
01/10/1976;20.01921118
01/01/1977;21.02560627
01/04/1977;21.9635665
01/07/1977;22.30976641
01/10/1977;22.63583842
01/01/1978;23.02229413
01/04/1978;23.65028467
01/07/1978;24.06089387
01/10/1978;24.46747749
01/01/1979;25.22831217
01/04/1979;26.15419566
01/07/1979;27.90532312
01/10/1979;28.69031129
01/01/1980;30.0429063
01/04/1980;31.79000818
01/07/1980;32.47033126
01/10/1980;33.07416831
01/01/1981;33.85915649
01/04/1981;35.50964444
01/07/1981;36.12555823
01/10/1981;37.01118592
01/01/1982;37.62709971
01/04/1982;38.83074824
01/07/1982;39.00787378
01/10/1982;39.29368999
01/01/1983;39.494969
01/04/1983;40.30008508
01/07/1983;40.81938495
01/10/1983;41.27830111
01/01/1984;41.53191267
01/04/1984;42.37325897
01/07/1984;42.74361236
01/10/1984;43.27498897
01/01/1985;43.81739179
01/04/1985;45.32614576
01/07/1985;45.43731711
01/10/1985;45.6596598
01/01/1986;45.97729221
01/04/1986;46.5807938
01/07/1986;46.62843867
01/10/1986;47.23194026
01/01/1987;47.80367861
01/04/1987;48.53423316
01/07/1987;48.64540451
01/10/1987;49.16949799
01/01/1988;49.35272727
01/04/1988;50.33571429
01/07/1988;50.74246753
01/10/1988;51.3187013
01/01/1989;51.75935065
01/04/1989;52.94571429
01/07/1989;53.31857143
01/10/1989;54.16597403
01/01/1990;54.81
01/04/1990;56.5387013
01/07/1990;57.35220779
01/10/1990;58.40298701
01/01/1991;58.64025974
01/04/1991;61.28415584
01/07/1991;61.72480519
01/10/1991;62.50441558
01/01/1992;62.74168831
01/04/1992;63.89415584
01/07/1992;63.75857143
01/10/1992;64.19922078
01/01/1993;64.23311688
01/04/1993;65.45337662
01/07/1993;65.58896104
01/10/1993;65.72454545
01/01/1994;65.75844156
01/04/1994;66.74142857
01/07/1994;66.70753247
01/10/1994;66.87701299
01/01/1995;67.41935065
01/04/1995;68.40233766
01/07/1995;68.50402597
01/10/1995;68.87688312
01/01/1996;69.24974026
01/04/1996;70.02935065
01/07/1996;70.09714286
01/10/1996;70.53779221
01/01/1997;70.53779221
01/04/1997;71.18181818
01/07/1997;71.45298701
01/10/1997;71.82584416
01/01/1998;71.69025974
01/04/1998;72.46987013
01/07/1998;72.43597403
01/10/1998;72.84272727
01/01/1999;72.80883117
01/04/1999;73.52064935
01/07/1999;73.35116883
01/10/1999;73.65623377
01/01/2000;73.35116883
01/04/2000;73.99519481
01/07/2000;73.9274026
01/10/2000;74.40194805
01/01/2001;73.99519481
01/04/2001;75.07987013
01/07/2001;75.11376623
01/10/2001;75.14766234
01/01/2002;75.11376623
01/04/2002;75.79168831
01/07/2002;75.85948052
01/10/2002;76.26623377
01/01/2003;76.26623377
01/04/2003;76.74077922
01/07/2003;76.87636364
01/10/2003;77.31701299
01/01/2004;77.24922078
01/04/2004;77.82545455
01/07/2004;77.85935065
01/10/2004;78.40168831
01/01/2005;78.5
01/04/2005;79.3
01/07/2005;79.7
01/10/2005;80.1
01/01/2006;80.2
01/04/2006;81.2
01/07/2006;81.7
01/10/2006;82.3
01/01/2007;82.4
01/04/2007;83.3
01/07/2007;83.3
01/10/2007;84.1
01/01/2008;84.5
01/04/2008;86.1
01/07/2008;87.1
01/10/2008;87.2
01/01/2009;87
01/04/2009;87.8
01/07/2009;88.2
01/10/2009;88.6
01/01/2010;89.1
01/04/2010;90
01/07/2010;90.3
01/10/2010;91.1
01/01/2011;92.2
01/04/2011;93.4
01/07/2011;93.9
01/10/2011;94.7
01/01/2012;95.1
01/04/2012;95.8
01/07/2012;96.1
01/10/2012;97
01/01/2013;97.4
01/04/2013;98.1
01/07/2013;98.4
01/10/2013;98.9
01/01/2014;99
01/04/2014;99.7
01/07/2014;99.8
01/10/2014;100
01/01/2015;99.4
01/04/2015;100
01/07/2015;100.2
01/10/2015;100.4
01/01/2016;100.1
01/04/2016;100.8
01/07/2016;101.2
01/10/2016;101.9
01/01/2017;102.3
01/04/2017;103.4
01/07/2017;103.9
01/10/2017;104.7
01/01/2018;104.8
